,HBCU,INSTNM,BBRR4_FED_PELL_DFLT,BBRR4_FED_PELL_PAIDINFULL,PELL_DEBT_MDN,COSTT4_A,ADM_RATE,C150_4_PELL,RET_FT4,MD_EARN_WNE_P6
2755,0.0,La Roche University,0.05-0.09,0.05-0.09,20000.0,45704.0,0.9736,0.5652,0.6667,45308.0
2756,0.0,La Salle University,0.08,0.08,19000.0,46521.0,0.9425,0.5499,0.6933,53701.0
2757,0.0,Lackawanna College,0.25-0.29,0.05-0.09,12000.0,26259.0,,0.3412,0.6667,35500.0
2758,0.0,Lafayette College,<=0.10,0.20-0.29,14000.0,75934.0,0.3363,0.8889,0.899,80614.0
2759,0.0,Lancaster Bible College,0.10-0.14,0.10-0.14,16000.0,39882.0,0.9715,0.5313,0.8071,36747.0
2760,0.0,Lancaster Theological Seminary,PS,PS,,,,,,
2761,0.0,Lancaster School of Cosmetology & Therapeutic Bodywork,<=0.20,<=0.20,5587.0,,,,,21762.0
2762,0.0,Lansdale School of Business,<=0.20,<=0.20,9488.0,31110.0,,,,32982.0
2763,0.0,Lansdale School of Cosmetology Inc,PS,PS,,,,,,15798.0
2764,0.0,Lebanon Valley College,0.05-0.09,0.10-0.14,21500.0,62016.0,0.7674,0.5556,0.8922,54021.0
2765,0.0,Lehigh Carbon Community College,0.15-0.16,0.09-0.10,6173.0,14839.0,,,,37577.0
2766,0.0,Miller-Motte College-Berks Technical Institute,0.29-0.30,0.03-0.04,10834.0,,,,,26349.0
2767,0.0,Lehigh University,0.03-0.04,0.29-0.30,16957.0,74573.0,0.3698,0.9071,0.9085,88810.0
2768,0.0,Lincoln Technical Institute-Allentown,0.25-0.26,0.05-0.06,9692.0,,,,,36485.0
2769,0.0,Lincoln Technical Institute-Philadelphia,0.25-0.26,0.05-0.06,9692.0,,,,,36485.0
2770,1.0,Lincoln University,0.15-0.19,<=0.05,23250.0,26546.0,0.8061,0.4167,0.789,32865.0
2771,0.0,UPMC St. Margaret School of Nursing,<=0.20,<=0.20,12000.0,29111.0,0.9,,,61500.0
2772,0.0,United Lutheran Seminary,PS,PS,,,,,,
2773,0.0,Luzerne County Community College,0.15-0.16,0.09-0.10,5250.0,14258.0,,,,35631.0
2774,0.0,Lycoming College,0.05-0.09,0.10-0.14,23644.0,59747.0,0.7522,0.6351,0.721,43713.0
2775,0.0,Manor College,0.20-0.29,<=0.10,11295.0,26231.0,0.9321,0.3514,0.6087,36013.0
2776,0.0,Marywood University,0.05-0.06,0.07-0.08,24521.0,50781.0,0.8076,0.6629,0.8252,47000.0
2777,0.0,Vet Tech Institute,<=0.10,<=0.10,11748.0,21795.0,,,,33750.0
2778,0.0,Roxborough Memorial Hospital School of Nursing,PS,PS,14931.0,,,,,89418.0
2779,0.0,Mercyhurst University,0.13-0.14,0.07-0.08,19000.0,56706.0,0.8055,0.5932,0.7997,39565.0
2780,0.0,Messiah University,0.03-0.04,0.21-0.22,24188.0,52125.0,0.7941,0.7054,0.86,50192.0
2781,0.0,ASPIRA City College,PS,PS,,24563.0,1.0,,,21998.0
2782,0.0,Millersville University of Pennsylvania,0.09,0.10,18755.0,26480.0,0.9242,0.4913,0.7659,44813.0
